ClientID,Nom,Ville,DateInscription,TotalTransactions,TotalDepense
CLT_1086,Abdoulaye Baldé,Kankan,2021-07-10,25,494560
CLT_1087,Nene Soumah,Nzérékoré,2023-07-17,92,395978
CLT_1088,Kemo Camara,Kankan,2023-04-13,148,288462
CLT_1089,Fanta Diallo,Kindia,2022-10-15,27,294305
CLT_1090,Fatoumata Doumbouya,Kindia,2020-05-09,154,32250
CLT_1091,Mariama Soumah,Conakry,2021-11-12,160,321688
CLT_1092,Lamine Touré,Labé,2021-01-02,191,407034
CLT_1093,Kemo Sow,Kindia,2023-09-20,112,451323
CLT_1094,Aissatou Condé,Nzérékoré,2020-09-03,182,59414
CLT_1095,Saran Touré,Kindia,2023-01-05,42,279823
CLT_1096,Mory Bangoura,Kankan,2022-03-04,167,402432
CLT_1097,Fanta Camara,Conakry,2021-11-14,139,55411
CLT_1098,Mamadou Soumah,Labé,2022-11-01,125,316022
CLT_1099,Mariama Baldé,Conakry,2022-11-30,58,292872
CLT_1100,Mamadou Condé,Conakry,2023-09-21,126,88726
CLT_1101,Ibrahima Cissé,Labé,2020-12-22,135,334388
CLT_1102,Sekou Sow,Nzérékoré,2023-12-29,174,41774
CLT_1103,Sekou Camara,Kankan,2022-01-26,150,167931
CLT_1104,Sekou Cissé,Labé,2020-10-11,24,284465
CLT_1105,Nene Soumah,Kankan,2022-04-03,119,371347
CLT_1106,Salematou Keita,Conakry,2021-05-24,12,435905
CLT_1107,Abdoulaye Bangoura,Nzérékoré,2020-03-01,133,424928
CLT_1108,Aissatou Bangoura,Kindia,2023-01-06,74,75316
CLT_1109,Mory Sow,Conakry,2021-09-15,133,209232
CLT_1110,Ibrahima Barry,Kankan,2023-06-08,180,190254
CLT_1111,Fatoumata Bah,Kindia,2023-02-02,96,329915
CLT_1112,Nene Keita,Kindia,2023-10-12,168,403639
CLT_1113,Aissatou Touré,Nzérékoré,2022-05-05,39,403021
CLT_1114,Nene Baldé,Conakry,2022-12-31,174,324433
CLT_1115,Salematou Condé,Kindia,2023-08-03,184,117059
CLT_1116,Binta Soumah,Nzérékoré,2020-02-04,38,194577
CLT_1117,Lamine Sow,Kankan,2023-08-24,144,57584
CLT_1118,Sekou Soumah,Labé,2021-10-20,61,264289
CLT_1119,Saran Condé,Nzérékoré,2021-12-01,150,365235
CLT_1120,Binta Touré,Labé,2021-01-18,88,106012
CLT_1121,Abdoulaye Cissé,Nzérékoré,2023-02-04,19,110813
CLT_1122,Thierno Sylla,Kankan,2022-05-05,68,243349
CLT_1123,Mory Cissé,Nzérékoré,2021-05-17,58,497858
CLT_1124,Ousmane Sylla,Labé,2022-04-02,175,218683
CLT_1125,Moussa Keita,Nzérékoré,2021-10-20,188,265569
CLT_1126,Binta Sow,Kankan,2023-04-18,48,436917
CLT_1127,Binta Camara,Conakry,2020-12-01,185,223552
CLT_1128,Aissatou Keita,Labé,2020-08-23,98,226406
CLT_1129,Ibrahima Bangoura,Kankan,2021-09-14,11,449201
CLT_1130,Binta Soumah,Nzérékoré,2020-08-26,6,469597
CLT_1131,Sekou Diallo,Nzérékoré,2021-07-11,42,361958
CLT_1132,Nene Camara,Conakry,2022-07-31,111,292884
CLT_1133,Saran Touré,Kankan,2022-09-03,196,289099
CLT_1134,Kemo Cissé,Labé,2020-10-13,101,191253
CLT_1135,Kadiatou Cissé,Nzérékoré,2022-06-19,123,407101
CLT_1136,Saran Bangoura,Nzérékoré,2023-04-03,100,393098
CLT_1137,Ousmane Touré,Conakry,2023-05-13,143,307833
CLT_1138,Lamine Soumah,Kindia,2021-11-25,170,180767
CLT_1139,Moussa Doumbouya,Conakry,2022-06-27,90,114969
CLT_1140,Binta Condé,Kindia,2020-05-19,51,360053
CLT_1141,Mamadou Soumah,Labé,2023-09-24,121,299921
CLT_1142,Mory Cissé,Conakry,2022-08-10,75,405502
CLT_1143,Ousmane Diallo,Labé,2020-05-06,8,164971
CLT_1144,Thierno Keita,Nzérékoré,2022-02-16,137,232260
CLT_1145,Nene Traoré,Kankan,2020-11-27,162,254400
CLT_1146,Mory Sow,Conakry,2020-06-13,86,172107
CLT_1147,Ibrahima Soumah,Labé,2020-08-26,27,9089
CLT_1148,Kemo Barry,Labé,2020-08-25,147,90364
CLT_1149,Moussa Traoré,Labé,2020-03-10,10,81619
CLT_1150,Fanta Keita,Kindia,2020-05-11,123,79821
CLT_1151,Salematou Touré,Conakry,2022-01-15,193,171258
CLT_1152,Fanta Touré,Nzérékoré,2020-08-17,146,487926
CLT_1153,Binta Camara,Labé,2022-01-24,11,469309
CLT_1154,Aissatou Keita,Kindia,2022-08-11,65,245967
CLT_1155,Ibrahima Keita,Kankan,2023-05-21,187,392426
CLT_1156,Lamine Doumbouya,Kindia,2021-07-18,87,158259
CLT_1157,Nene Diallo,Labé,2020-01-28,50,16440
CLT_1158,Salematou Traoré,Labé,2021-03-26,159,131200
CLT_1159,Binta Keita,Conakry,2020-07-25,171,433245
CLT_1160,Mory Condé,Kankan,2020-01-27,39,428413
CLT_1161,Lamine Diallo,Kankan,2020-03-09,198,392368
CLT_1162,Nene Doumbouya,Kindia,2021-07-10,24,285183
CLT_1163,Mariama Diallo,Kankan,2021-08-25,74,194591
CLT_1164,Mamadou Keita,Kankan,2023-03-02,152,480316
CLT_1165,Kemo Traoré,Conakry,2021-02-27,102,68334
CLT_1166,Fanta Cissé,Kankan,2020-06-26,78,28490
CLT_1167,Binta Touré,Conakry,2023-06-03,167,88775
CLT_1168,Sekou Keita,Nzérékoré,2022-03-23,42,225013
CLT_1169,Mariama Doumbouya,Nzérékoré,2020-12-06,159,353919
CLT_1170,Mamadou Cissé,Conakry,2021-08-07,7,496322
CLT_1171,Thierno Sow,Kankan,2020-08-13,34,421478
CLT_1172,Mariama Condé,Nzérékoré,2021-12-18,104,277919
CLT_1173,Mory Condé,Conakry,2022-08-16,105,44469
CLT_1174,Aissatou Camara,Conakry,2022-12-02,59,154824
CLT_1175,Thierno Keita,Kankan,2022-03-19,161,325415
CLT_1176,Fatoumata Doumbouya,Nzérékoré,2020-02-03,63,405109
CLT_1177,Kadiatou Traoré,Nzérékoré,2020-06-28,67,317985
CLT_1178,Abdoulaye Baldé,Nzérékoré,2023-07-15,26,243536
CLT_1179,Sekou Baldé,Kankan,2021-09-29,191,466370
CLT_1180,Sekou Touré,Kankan,2020-04-29,81,374487
CLT_1181,Sekou Cissé,Labé,2022-08-04,94,65660
CLT_1182,Binta Doumbouya,Kankan,2023-08-13,137,238396
CLT_1183,Mory Doumbouya,Kankan,2021-09-05,108,47331
CLT_1184,Thierno Cissé,Nzérékoré,2020-10-01,122,90056
CLT_1185,Kadiatou Diallo,Nzérékoré,2021-12-27,57,121882
CLT_1186,Abdoulaye Sylla,Kindia,2021-05-22,180,85449
CLT_1187,Thierno Sylla,Conakry,2022-11-07,84,150190
CLT_1188,Aissatou Bangoura,Conakry,2022-12-10,131,145438
CLT_1189,Fanta Doumbouya,Conakry,2020-07-06,191,125417
CLT_1190,Mory Cissé,Kindia,2023-04-19,82,402004
CLT_1191,Ibrahima Touré,Labé,2023-01-10,152,161125
CLT_1192,Mory Sylla,Labé,2022-11-22,85,499434
CLT_1193,Salematou Bah,Kankan,2021-05-28,166,9427
CLT_1194,Sekou Condé,Kindia,2023-12-10,25,293772
CLT_1195,Mamadou Doumbouya,Kankan,2020-10-30,100,24652
CLT_1196,Ibrahima Cissé,Labé,2022-04-17,87,447091
CLT_1197,Lamine Touré,Nzérékoré,2023-09-08,143,100398
CLT_1198,Saran Touré,Conakry,2022-11-13,175,433140
CLT_1199,Alpha Camara,Kindia,2021-08-29,158,192164
CLT_1200,Mariama Traoré,Kindia,2022-01-12,115,471505
CLT_1201,Mory Sylla,Kankan,2020-07-30,189,348669
CLT_1202,Mamadou Diallo,Conakry,2020-07-05,23,396477
CLT_1203,Kadiatou Doumbouya,Labé,2020-12-16,37,185430
CLT_1204,Alpha Diallo,Labé,2023-01-18,150,140232
CLT_1205,Alpha Sow,Kankan,2023-08-08,189,390393
CLT_1206,Fanta Keita,Conakry,2022-01-12,146,91447
CLT_1207,Ousmane Condé,Nzérékoré,2020-08-24,137,481977
CLT_1208,Nene Bangoura,Nzérékoré,2020-11-20,105,109869
CLT_1209,Ousmane Sylla,Kindia,2020-10-19,31,359927
CLT_1210,Mariama Sow,Conakry,2023-12-07,129,485455
CLT_1211,Binta Bah,Conakry,2022-06-21,33,255526
CLT_1212,Kadiatou Bah,Nzérékoré,2021-03-18,186,393595
CLT_1213,Thierno Bangoura,Kindia,2021-08-30,30,50999
CLT_1214,Thierno Doumbouya,Conakry,2020-09-23,27,171817
CLT_1215,Mariama Barry,Conakry,2021-04-09,134,52611
CLT_1216,Aissatou Doumbouya,Conakry,2023-09-02,136,250259
CLT_1217,Mariama Diallo,Nzérékoré,2022-05-24,107,75313
CLT_1218,Saran Keita,Labé,2023-04-23,182,392137
CLT_1219,Mariama Sow,Nzérékoré,2020-02-26,50,325277
CLT_1220,Kadiatou Diallo,Labé,2021-11-24,152,225932
CLT_1221,Sekou Bah,Kankan,2022-11-03,135,298489
CLT_1222,Abdoulaye Bangoura,Kindia,2022-10-20,190,439202
CLT_1223,Thierno Sylla,Kankan,2023-11-08,199,76999
CLT_1224,Fanta Soumah,Labé,2023-04-08,161,367063
CLT_1225,Alpha Soumah,Labé,2023-02-13,98,334678
CLT_1226,Binta Barry,Nzérékoré,2023-08-03,175,176614
CLT_1227,Thierno Camara,Conakry,2021-04-05,153,318197
CLT_1228,Kemo Bangoura,Conakry,2023-06-10,166,387908
CLT_1229,Sekou Diallo,Kankan,2022-09-02,45,216096
CLT_1230,Mariama Traoré,Conakry,2020-11-16,80,210179
CLT_1231,Mariama Traoré,Labé,2022-02-28,192,340285
CLT_1232,Mamadou Diallo,Conakry,2021-12-01,130,28279
CLT_1233,Moussa Barry,Kindia,2022-07-29,73,380999
CLT_1234,Alpha Traoré,Kindia,2023-06-23,160,47756
CLT_1235,Sekou Touré,Kankan,2021-07-09,113,263396
CLT_1236,Saran Camara,Kindia,2022-09-15,33,235861
CLT_1237,Lamine Condé,Kankan,2023-08-07,117,34959
CLT_1238,Abdoulaye Sylla,Labé,2020-03-09,148,199615
CLT_1239,Sekou Bah,Conakry,2023-01-05,12,325821
CLT_1240,Kemo Camara,Kindia,2021-01-10,137,458384
CLT_1241,Thierno Bangoura,Kindia,2020-12-02,112,365958
CLT_1242,Mariama Touré,Conakry,2020-10-12,51,372966
CLT_1243,Fanta Sylla,Kankan,2023-06-22,79,152817
CLT_1244,Nene Camara,Conakry,2020-08-09,186,128886
CLT_1245,Lamine Bangoura,Nzérékoré,2021-03-23,101,188557
CLT_1246,Ousmane Diallo,Nzérékoré,2022-08-30,41,305002
CLT_1247,Sekou Barry,Kankan,2023-06-11,149,452077
CLT_1248,Alpha Camara,Labé,2021-07-15,127,248688
CLT_1249,Mory Soumah,Labé,2022-03-26,149,442436
CLT_1250,Fatoumata Bah,Conakry,2023-08-29,165,382490
CLT_1251,Ousmane Diallo,Labé,2021-11-19,168,267367
CLT_1252,Mory Cissé,Kankan,2021-11-30,78,155827
CLT_1253,Fanta Diallo,Conakry,2023-12-22,59,122193
CLT_1254,Salematou Bangoura,Kankan,2020-02-20,103,234717
CLT_1255,Sekou Diallo,Labé,2022-09-09,139,164444
CLT_1256,Nene Sow,Conakry,2021-04-01,52,379654
CLT_1257,Salematou Keita,Kindia,2022-01-20,88,252470
CLT_1258,Thierno Touré,Kindia,2020-01-26,54,83766
CLT_1259,Mamadou Traoré,Kankan,2021-10-02,113,232134
CLT_1260,Saran Bah,Conakry,2020-05-24,171,137138
CLT_1261,Abdoulaye Bangoura,Kankan,2022-11-04,133,58305
CLT_1262,Mory Camara,Labé,2020-05-12,66,399482
CLT_1263,Saran Barry,Kindia,2020-08-29,131,147545
CLT_1264,Nene Diallo,Kankan,2022-12-30,50,323553
CLT_1265,Saran Barry,Conakry,2023-03-25,126,138203
CLT_1266,Kemo Sow,Conakry,2021-10-24,164,495425
CLT_1267,Ibrahima Sylla,Kindia,2022-03-11,190,162784
CLT_1268,Kadiatou Camara,Kindia,2021-07-15,183,432212
CLT_1269,Saran Baldé,Labé,2021-05-29,120,368866
CLT_1270,Salematou Keita,Conakry,2020-10-25,161,100984
CLT_1271,Mory Bangoura,Kankan,2020-02-21,101,259491
CLT_1272,Aissatou Traoré,Kankan,2023-02-06,166,117591
CLT_1273,Nene Barry,Kindia,2023-10-25,21,79991
CLT_1274,Mory Condé,Kankan,2023-11-26,32,349859
CLT_1275,Fanta Baldé,Kankan,2023-07-19,165,377820
CLT_1276,Ibrahima Sow,Nzérékoré,2023-08-17,169,400473
CLT_1277,Ousmane Barry,Kankan,2020-03-02,9,320887
CLT_1278,Sekou Touré,Labé,2021-12-31,135,13370
CLT_1279,Mamadou Soumah,Kindia,2022-12-25,189,423320
CLT_1280,Moussa Barry,Labé,2021-01-21,44,46295
CLT_1281,Mamadou Bah,Kankan,2022-01-27,55,493064
CLT_1282,Moussa Bah,Labé,2023-07-07,136,55606
CLT_1283,Binta Bah,Kankan,2020-02-18,189,232573
CLT_1284,Kemo Sylla,Conakry,2021-07-04,149,407062
CLT_1285,Ibrahima Doumbouya,Conakry,2021-10-29,20,113933
CLT_1286,Aissatou Sow,Kankan,2022-07-16,29,270766
CLT_1287,Alpha Diallo,Conakry,2020-02-15,120,329404
CLT_1288,Nene Baldé,Kindia,2023-08-23,150,470389
CLT_1289,Aissatou Bangoura,Kankan,2023-09-28,137,291207
CLT_1290,Mariama Bangoura,Kankan,2021-08-15,162,409434
CLT_1291,Mory Camara,Kindia,2022-08-29,129,209016
CLT_1292,Thierno Traoré,Nzérékoré,2021-03-12,59,254047
CLT_1293,Moussa Sow,Conakry,2022-10-09,63,367043
CLT_1294,Saran Doumbouya,Conakry,2020-03-18,123,487733
CLT_1295,Binta Doumbouya,Kankan,2023-09-04,131,82006
CLT_1296,Nene Condé,Kindia,2021-08-19,8,226852
CLT_1297,Mamadou Traoré,Conakry,2023-10-04,27,364298
CLT_1298,Binta Traoré,Kankan,2023-01-08,48,77595
CLT_1299,Kemo Diallo,Labé,2021-03-28,184,327767
CLT_1300,Ousmane Baldé,Conakry,2020-07-12,16,323393
CLT_1301,Moussa Soumah,Nzérékoré,2023-11-13,84,55301
CLT_1302,Ousmane Bah,Kankan,2022-12-31,188,128611
CLT_1303,Abdoulaye Baldé,Nzérékoré,2020-04-30,22,478075
CLT_1304,Alpha Traoré,Kankan,2021-07-08,83,113620
CLT_1305,Fatoumata Doumbouya,Kankan,2021-07-25,67,353657
CLT_1306,Mariama Touré,Conakry,2020-01-29,133,33539
CLT_1307,Saran Sylla,Conakry,2020-03-13,25,121941
CLT_1308,Mamadou Sylla,Kankan,2020-02-21,70,261626
CLT_1309,Kadiatou Barry,Kindia,2022-12-21,23,19081
CLT_1310,Kemo Bangoura,Conakry,2021-06-06,148,242299
CLT_1311,Abdoulaye Traoré,Nzérékoré,2022-08-15,31,488093
CLT_1312,Kemo Sylla,Labé,2022-02-09,153,8114
CLT_1313,Aissatou Cissé,Conakry,2020-08-20,41,104677
CLT_1314,Ousmane Diallo,Kankan,2023-04-01,47,360289
CLT_1315,Saran Sylla,Nzérékoré,2022-10-30,49,351716
CLT_1316,Moussa Cissé,Labé,2020-02-12,184,398512
CLT_1317,Sekou Camara,Conakry,2023-02-04,173,276052
CLT_1318,Thierno Sylla,Conakry,2023-12-24,148,411139
CLT_1319,Moussa Traoré,Conakry,2021-01-11,51,348707
CLT_1320,Ousmane Sylla,Kankan,2020-11-26,98,356882
CLT_1321,Kadiatou Camara,Nzérékoré,2022-01-23,188,249984
CLT_1322,Mariama Bah,Kankan,2021-12-12,61,449852
CLT_1323,Alpha Barry,Kindia,2020-04-28,63,153770
CLT_1324,Fatoumata Bah,Kankan,2023-09-18,62,435579
CLT_1325,Binta Touré,Labé,2023-07-05,32,353641
CLT_1326,Binta Keita,Nzérékoré,2020-11-21,67,225339
CLT_1327,Ousmane Traoré,Kankan,2020-08-18,94,90155
CLT_1328,Thierno Doumbouya,Kindia,2021-07-08,171,376844
CLT_1329,Mory Condé,Kindia,2020-07-21,182,321175
CLT_1330,Thierno Sylla,Labé,2021-03-28,75,237450
CLT_1331,Mariama Sylla,Conakry,2022-12-10,164,200580
CLT_1332,Thierno Sow,Nzérékoré,2023-06-24,122,160306
CLT_1333,Ousmane Bangoura,Labé,2021-01-30,163,351576
CLT_1334,Mamadou Diallo,Labé,2022-10-10,56,452022
CLT_1335,Kemo Bah,Kindia,2022-09-08,53,100543
CLT_1336,Mamadou Diallo,Kindia,2021-06-26,191,143474
CLT_1337,Saran Camara,Kankan,2023-04-09,85,237265
CLT_1338,Fatoumata Traoré,Nzérékoré,2022-10-25,8,451950
CLT_1339,Mariama Cissé,Kindia,2023-12-27,60,334351
CLT_1340,Lamine Sow,Kankan,2023-07-27,59,5693
CLT_1341,Moussa Barry,Conakry,2023-09-10,64,390182
CLT_1342,Saran Bah,Kankan,2021-04-05,58,238864
CLT_1343,Kemo Touré,Kankan,2022-01-13,84,329800
CLT_1344,Ousmane Baldé,Kankan,2022-06-20,39,207344
CLT_1345,Fanta Traoré,Labé,2020-05-10,25,88334
CLT_1346,Aissatou Cissé,Conakry,2020-03-07,137,361036
CLT_1347,Saran Doumbouya,Labé,2022-12-18,141,359812
CLT_1348,Mariama Touré,Conakry,2023-01-30,41,282827
CLT_1349,Nene Doumbouya,Kankan,2021-08-19,182,277879
CLT_1350,Binta Touré,Kankan,2022-10-02,130,430974
CLT_1351,Nene Bah,Conakry,2020-09-12,140,132562
CLT_1352,Aissatou Keita,Conakry,2021-09-13,10,149935
CLT_1353,Fanta Doumbouya,Conakry,2022-08-07,113,159256
CLT_1354,Mamadou Camara,Labé,2022-10-22,162,85799
CLT_1355,Mariama Traoré,Kindia,2020-08-15,148,376662
CLT_1356,Ousmane Traoré,Conakry,2022-12-04,184,233038
CLT_1357,Alpha Soumah,Conakry,2021-01-18,102,251167
CLT_1358,Mamadou Sylla,Labé,2020-07-10,89,40671
CLT_1359,Ousmane Bangoura,Nzérékoré,2021-04-08,64,247384
CLT_1360,Ousmane Doumbouya,Nzérékoré,2023-07-21,190,71607
CLT_1361,Sekou Diallo,Labé,2021-01-21,174,57369
CLT_1362,Ibrahima Condé,Conakry,2022-10-09,197,360754
CLT_1363,Moussa Soumah,Labé,2020-10-13,32,159599
CLT_1364,Aissatou Bangoura,Labé,2021-01-11,128,32045
CLT_1365,Lamine Baldé,Kankan,2022-02-02,61,288310
CLT_1366,Salematou Camara,Kindia,2023-06-23,72,477882
CLT_1367,Mariama Baldé,Kindia,2020-10-30,63,407507
CLT_1368,Kadiatou Bah,Conakry,2022-05-12,6,94934
CLT_1369,Mory Soumah,Nzérékoré,2022-11-29,175,460727
CLT_1370,Alpha Camara,Nzérékoré,2020-02-26,16,79185
CLT_1371,Fanta Diallo,Kankan,2021-11-21,78,275876
CLT_1372,Mariama Bah,Kankan,2020-12-04,119,201202
CLT_1373,Salematou Doumbouya,Nzérékoré,2023-01-26,50,165787
CLT_1374,Lamine Sow,Kindia,2022-12-18,124,108459
CLT_1375,Lamine Keita,Conakry,2022-05-07,135,194227
CLT_1376,Lamine Keita,Kankan,2023-11-11,89,63814
CLT_1377,Kadiatou Sow,Kindia,2023-06-05,65,307128
CLT_1378,Nene Baldé,Kankan,2022-08-05,35,118479
CLT_1379,Fatoumata Barry,Conakry,2022-08-02,50,296765
CLT_1380,Salematou Touré,Kankan,2021-10-12,108,71624
CLT_1381,Mamadou Diallo,Nzérékoré,2021-01-06,32,248281
CLT_1382,Lamine Camara,Nzérékoré,2023-09-15,13,85033
CLT_1383,Binta Camara,Kankan,2022-01-04,135,413192
CLT_1384,Aissatou Traoré,Kankan,2022-05-14,54,423439
CLT_1385,Nene Sow,Kindia,2020-04-06,154,348888
CLT_1386,Fatoumata Touré,Kindia,2021-06-04,26,14097
CLT_1387,Fatoumata Keita,Conakry,2021-05-10,71,79960
CLT_1388,Kemo Camara,Conakry,2023-08-19,44,32939
CLT_1389,Alpha Cissé,Labé,2023-10-09,6,172852
CLT_1390,Lamine Sow,Labé,2021-11-03,68,88710
CLT_1391,Alpha Cissé,Kindia,2023-02-08,166,223814
CLT_1392,Fatoumata Sylla,Kankan,2023-05-16,96,272341
CLT_1393,Abdoulaye Diallo,Labé,2022-12-05,24,305963
CLT_1394,Lamine Doumbouya,Conakry,2020-09-07,177,485505
CLT_1395,Abdoulaye Camara,Kankan,2022-02-10,180,237033
CLT_1396,Ibrahima Bangoura,Kankan,2022-09-10,113,245322
CLT_1397,Nene Keita,Kankan,2023-12-08,33,439836
CLT_1398,Fanta Touré,Kindia,2021-04-19,132,397191
CLT_1399,Alpha Keita,Kindia,2022-05-06,130,413066
CLT_1400,Fanta Bangoura,Conakry,2022-03-01,111,34444
CLT_1401,Moussa Condé,Conakry,2022-03-13,69,350294
CLT_1402,Mory Sow,Labé,2021-04-26,115,306329
CLT_1403,Sekou Barry,Conakry,2022-10-17,104,119048
CLT_1404,Mamadou Sylla,Conakry,2023-04-07,99,356509
CLT_1405,Mamadou Keita,Conakry,2020-07-12,177,117563
CLT_1406,Moussa Diallo,Kankan,2022-06-07,144,281681
CLT_1407,Fanta Bah,Kankan,2021-07-29,164,120773
CLT_1408,Kemo Cissé,Nzérékoré,2020-04-29,48,112676
CLT_1409,Moussa Camara,Conakry,2023-10-11,17,487097
CLT_1410,Ibrahima Traoré,Kindia,2021-02-15,22,197742
CLT_1411,Aissatou Diallo,Conakry,2020-08-15,178,300056
CLT_1412,Ousmane Soumah,Conakry,2022-05-16,37,207079
CLT_1413,Saran Diallo,Kankan,2022-07-14,26,11268
CLT_1414,Kemo Barry,Nzérékoré,2022-09-11,178,376530
CLT_1415,Binta Bah,Kindia,2022-07-18,32,402730
CLT_1416,Saran Cissé,Kankan,2022-02-15,111,450717
